STATION,ADDRESS,LOCALITY,ALTADDRESS,LONG,LAT
COVERTY RURAL,202 COVERTY ROAD,COVERTY ,,151.503013135,-26.290906782
CRACOW RURAL,CORNER OF THIRD AVENUE AND SIXTH AVENUE,CRACOW ,,150.300752554,-25.293700815
CRANKS AVENUE RURAL,27 LUTHJE ROAD,MONTO ,,151.125982338,-24.870273911
CROYDON RURAL,CORNER OF BROWN STREET AND SIRCOM STREET,CROYDON ,,142.242508635,-18.2024510269999
CRYSTAL WATERS VILLAGE RURAL,KILCOY LANE,CRYSTAL WATERS ,,152.718441277,-26.7816413749999
CUNGULLA RURAL,"FRANK RANDELL DRIVE, FRANK RANDELL DRIVE, CUNGULLA QLD 4816",CUNGULLA ,,147.107294991,-19.396228929
CURRA RURAL,DAVID DRIVE,CURRA ,,152.579348928,-26.0834985349999
CURRUMBIN VALLEY RURAL,6 BRAEWOOD DRIVE,CURRUMBIN VALLEY ,,153.38989992,-28.214496584
CURTIS ISLAND RURAL,TURTLE STREET,CURTIS ISLAND ,,151.310130623,-23.756742265
DAINTREE RURAL,CORNER OF DOUGLAS ROAD AND OSBORNE ROAD,DAINTREE ,,145.321766414,-16.2506051509999
DAJARRA TOWN RURAL,CARMODY STREET,DAJARRA ,,139.516249,-21.694747
DALMA RURAL,2070 STAWELL-WAROULA ROAD,DALMA ,,150.24526,-23.3478699999999
DALRYMPLE HEIGHTS RURAL,1 NORTH STREET,EUNGELLA ,,148.493896624,-21.131028651
DAYBORO AND DISTRICT RURAL,LACEY'S CREEK ROAD,DAYBORO ,,152.80619,-27.1881999999999
DELANEYS CREEK RURAL,2 DASHER COURT,DELANEYS CREEK ,,152.787941,-27.0025699999999
DINGO TOWN RURAL,CAIRNS STREET,DINGO ,,149.331018816,-23.64360878
DOONAN RURAL,"LOT 143,  EUMUNDI - NOOSA ROAD",DOONAN ,,153.02183958,-26.4468550359999
DUARINGA TOWN RURAL,CHARLOTTE STREET,DUARINGA ,,149.670387391,-23.716180084
DULULU RURAL,CORNER OF BURNETT HIGHWAY AND BRYANT STREET,DULULU ,,150.262685348,-23.84748221
DUMBLETON RURAL,SUGAR SHED ROAD,DUMBLETON ,,149.09537671,-21.11455868
DUNDOWRAN RURAL,LOWER MOUNTAIN ROAD,DUNDOWRAN ,,152.764240479,-25.29485385
DUNMORA RURAL,OLD GAYNDAH ROAD,DUNMORA ,,152.571495925,-25.517794518
DURONG RURAL,8929 WONDAI - CHINCHILLA ROAD,DURONG ,,151.243956183,-26.394976105
EAST BOORAL RURAL,"LOT 15,  OSLOVE DRIVE",BOORAL ,,152.912640178,-25.362325309
ELLIOTT HEADS RURAL,100 WELCH STREET,ELLIOTT HEADS ,,152.488774401,-24.9088696979999
ETON RURAL,18 BARRIER STREET,ETON ,,148.973660443,-21.2654275199999
EUDLO RURAL,"LOT 50, ROSEBED STREET",EUDLO ,,152.957025673,-26.725342558
EUKEY RURAL,EUKEY ROAD,EUKEY ,,151.97304321,-28.77505185
EUMUNDI RURAL,150 NAPIER ROAD,EUMUNDI ,,152.952568547,-26.476017042
