STATION,ADDRESS,LOCALITY,ALTADDRESS,LONG,LAT
MOUNT BINGA RURAL,"LOT 95,  LEASEA MOUNT ROAD",MOUNT BINGA ,,151.98367,-27.00913
MOUNT BLACKWOOD RURAL,3022 BRUCE HIGHWAY,KUTTABEL,,148.921220991,-21.051680927
MOUNT CAMPBELL RURAL,WALKERS ROAD,ROCKMOUNT ,,152.01507,-27.68367
MOUNT GARNET RURAL,AGATE STREET,MOUNT GARNET ,,145.120781183,-17.678578178
MOUNT HALLEN RURAL,59 WINDSOR DRIVE,ESK ,,152.386431104,-27.3432959909999
MOUNT KELLY RURAL,10 MOUNT KELLY DRIVE,MOUNT KELLY ,,147.32313,-19.66049
MOUNT KILCOY SANDY CREEK RURAL,621 SANDY CREEK ROAD,MOUNT KILCOY ,,152.61279,-26.88026
MOUNT LARCOM RURAL,47 RAGLAN STREET,MOUNT LARCOM ,,150.978637933,-23.810774602
MOUNT MAURICE RURAL,MCGRATH ROAD,KIRKWOOD ,,151.216642412,-23.9221313209999
MOUNT MEE RURAL,THOMAS ROAD,MOUNT MEE ,,152.768928,-27.060416
MOUNT MOLLOY RURAL,MAIN STREET,MOUNT MOLLOY ,,145.336417352,-16.673194957
MOUNT MORT RURAL,CORNER OF GREYS PLAINS ROAD AND ALPERS ROAD,MOUNT MORT ,,152.424739912,-27.8020865679999
MOUNT NEBO RURAL,LINDSAY ROAD,MOUNT GLORIOUS ,,152.768294,-27.3333939999999
MOUNT SURPRISE RURAL,GULF DEVELOPMENT ROAD,MOUNT SURPRISE ,,144.323943697,-18.1453493999999
MOUNT WALKER RURAL,ROSEWOOD-WARILL VIEW ROAD,MOUNT WALKER WEST ,,152.535841773,-27.7803353149999
MUDGEERABA RURAL,415 SPRINGBROOK ROAD,MUDGEERABA ,,153.328372,-28.0964339999999
MULGOWIE RURAL,BECKMAN ROAD,MULGOWIE ,,152.362357819,-27.729877081
MUMBEANNA RURAL,CORNER OF HERRON ROAD AND EEL CREEK ROAD,PIE CREEK ,,152.619242616,-26.2411696779999
MUNGAR YERRA RURAL,20 KAURIE STREET,MUNGAR ,,152.591362335,-25.6016308869999
MURPHYS CREEK RURAL,30 MURPHYS CREEK ROAD,MURPHYS CREEK ,,152.052712434,-27.458703381
MUTDAPILLY RURAL,GIMPLES ROAD,MUTDAPILLY ,,152.650082153,-27.7528239169999
MUTTABURRA RURAL,CORNISH STREET,MUTTABURRA ,,144.549065541,-22.5943859569999
MYALL VALLEY RURAL,CORNER OF ACLAND STREET AND GEORGE STREET,ACLAND ,,151.68801,-27.30378
NANKIN RURAL,SLEIPNER ROAD,NANKIN ,,150.66184,-23.34687
NARANGBA RURAL,6 ROBERTS ROAD,NARANGBA ,,152.901871483,-27.1848470749999
NEBO TOWN RURAL,REYNOLDS STREET,NEBO ,,148.692550659,-21.688346081
NEERDIE RURAL,ANDERLEIGH STREET,NEERDIE ,,152.756848,-26.004353
NIKENBAH RURAL,ALLBORG ROAD,NIKENBAH ,,152.804408736,-25.3172368309999
NOME DISTRICT RURAL,2 ALLIGATOR CREEK ROAD,ALLIGATOR CREEK ,,146.953050956,-19.388233645
NOOSA NORTH SHORE RURAL,HOMEPORT ROAD,NORTH SHORE ,,153.045019,-26.3877719999999
NORMANTON RURAL,THOMPSON STREET,NORMANTON ,,141.079236538,-17.6731454929999
NORTH DALLARNIL RURAL,ISIS HIGHWAY,DALLARNIL ,,152.04579578,-25.382795608
NORTH GRANITE BELT RURAL,AMIENS THULIMBAH ROAD,STANTHORPE ,,151.947695076,-28.55102206
NORTH MILLSTREAM RURAL,MILLSTREAM PARADE,MILLSTREAM ,,145.41955685,-17.652908802
NUMINBAH VALLEY RURAL,2148 NERANG-MURWILLUMBAH ROAD,NUMINBAH VALLEY ,,153.22376912,-28.138586054
OAK VALLEY RURAL,56 CHISHOLM TRAIL,OAK VALLEY ,,146.8229,-19.41563
OCEAN VIEW RURAL,JAMES STREET,OCEAN VIEW ,,152.815716,-27.137796
OGMORE RURAL,DEMPSEY STREET,OGMORE ,,149.663105878,-22.6273010199999
ORCHID BEACH RURAL,NGKALA ROAD,ORCHID BEACH ,,153.314961389,-24.961137525
ORMEAU RURAL,31 UPPER ORMEAU ROAD,ORMEAU ,,153.259473688,-27.8028219199999
PALMWOODS RURAL,MARGARET ST,PALMWOODS ,,152.95702942,-26.687554071
PALUMA RURAL,CORNER OF MOUNT SPEC ROAD AND SMITH CRESCENT,PALUMA ,,146.206784114,-19.007547357
PAMPAS RURAL,"LOT 2,  GORE HIGHWAY",PAMPAS ,,151.411032275,-27.791263519
PENTLAND TOWN RURAL,CORNER OF GILMORE STREET AND MILLS STREET,PENTLAND ,,145.398617,-20.5237
PERANGA RURAL,32 DENHAM STREET,PERANGA ,,151.694736932,-27.146712521
PERRY RIVER RURAL,GOODNIGHT ROAD,MORGANVILLE ,,151.9688,-25.21079
PERRY SHIRE RURAL,CORNER OF FLORA STREET AND ELLIOT STREET,MOUNT PERRY ,,151.641662025,-25.1770193849999
EMU CREEK RURAL,PIERCES CREEK ROAD,CROWS NEST ,,151.997098932,-27.0940310679999
PINE MOUNTAIN DISTRICT RURAL,2 RUSSELLS ROAD,PINE MOUNTAIN ,,152.713712342,-27.543529672
PLANE CREEK RURAL,TARA CREEK ROAD,SARINA ,,149.143872706,-21.456051768
PLANET DOWNS RURAL,"LOT 5, ",GREGORY ,,139.25638,-18.64805
PRATTEN BONY MOUNTAIN RURAL,101 WHITE STREET,PRATTEN ,,151.784215689,-28.0864823859999
PRENZLAU RURAL,278 SCHULZ ROAD,PRENZLAU ,,152.526245363,-27.517308618
PURONO RURAL,PURONO PARKWAY,YABULU ,,146.583049604,-19.1976371109999
RANGEWOOD RURAL,MT MARGARET DRIVE,RANGEWOOD ,,146.636142696,-19.3128847639999
RAVENSBOURNE AND PERSEVERANCE RURAL,HAMPTON ESK ROAD,RAVENSBOURNE ,,152.123661791,-27.373489583
REDBANK CREEK RURAL,111 O'GRADY ROAD,ESK ,,152.35601,-27.2676499999999
REID RIVER RURAL,PLANT HILL ROAD,REID RIVER ,,146.854472075,-19.7143777439999
RIDGEWOOD RURAL,CORNER OF POULSEN ROAD AND JUBILEE ROAD,CARTERS RIDGE ,,152.764350924,-26.4514760979999
RIPLEY VALLEY RURAL,238 RIPLEY ROAD,RIPLEY ,,152.803825791,-27.690621958
RIVER HEADS KINGFISHER RURAL,1 MCIVOR STREET,RIVER HEADS ,,152.914505608,-25.415593224
ROADVALE RURAL,LOT 4 GRAY STREET,ROADVALE ,,152.683645607,-27.9172268039999
ROCKSBERG MOORINA RURAL,1026 CABOOLTURE RIVER ROAD,ROCKSBERG ,,152.864624353,-27.124687996
ROCKY POINT RURAL,269 SKOPPS ROAD,NORWELL ,,153.337768262,-27.7758550739999
ROLLESTON RURAL,CNR BROWN STREET AND DAWSON HIGHWAY,ROLLESTON ,,148.62661701,-24.463764085
ROLLINGSTONE RURAL,71 HERALD STREET,ROLLINGSTONE ,,146.408763784,-19.044985353
ROSEDALE RURAL,MOOLYUNG STREET,ROSEDALE ,,151.915263045,-24.6306917589999
ROSEVALE RURAL,ELAVESOR DRIVE,ROSEVALE ,,152.49049,-27.86786
RUPERTSWOOD RURAL,PROGRESS ROAD,RUPERTSWOOD ,,146.601583,-19.3289
RUSSELL ISLAND RURAL,JACKSON ROAD,RUSSELL ISLAND ,,153.375622386,-27.659336514
SAINT LAWRENCE RURAL,3 WILANGI STREET,ST LAWRENCE ,,149.536667053,-22.346881835
SAMFORD RURAL,STATION ROAD,SAMFORD ,,152.885156,-27.3684509999999
SAMSONVALE RURAL,CORNER OF KOBBLE CREEK ROAD AND MT SAMSON ROAD,KOBBLE CREEK ,,152.837101,-27.24925
SANDY CREEK RURAL,PINE CRESCENT,ESK ,,152.421131783,-27.299789371
SANDY RIDGES RURAL,1849 BURNETT HIGHWAY,SANDY RIDGES ,,152.025495255,-26.513895646
SANDY STRAITS RURAL,SNAPPER DRIVE,POONA ,,152.911142963,-25.720713577
SCRUBBY CREEK RURAL,147 CAMELLIA COURT,MILLMERRAN ,,151.056738792,-27.975903616
SCRUBBY CREEK RURAL,32 CAMELIA COURT,MILLMERRAN ,,151.056738792,-27.975903616
SEAFORTH TOWN RURAL,GEORGE STREET,SEAFORTH ,,148.967564637,-20.9020845709999
SILVER SPUR RURAL,RALEIGH ROAD,SILVER SPUR ,,151.27593,-28.90029
CROSSDALE SOMERSET DAM RURAL,ALBERT STREET,SOMERSET DAM ,,152.551758252,-27.116913962
SOUTH KOLAN RURAL,CHAMBERS ROAD,SOUTH KOLAN ,,152.185396155,-24.9271518639999
SOUTH NANANGO RURAL,13760 D'AGUILAR HIGHWAY,NANANGO ,,151.979878679,-26.6916980419999
SOUTHBROOK LINTHORPE RURAL,O'SHEA AVENUE,SOUTHBROOK ,,151.705925002,-27.6775554399999
SPEEWAH RURAL,CORNER OF SPEEWAH ROAD AND WILLIAM SMITH DRIVE,KURANDA ,,145.600809251,-16.875056957
SPRINGBROOK RURAL,3 CARRICKS ROAD,SPRINGBROOK ,,153.268589,-28.1950889999999
STANMORE AND DISTRICT RURAL,COVE ROAD,STANMORE ,,152.79403,-26.9119699999999
STANTHORPE GROUP,CORNER OF MCKENZIE STREET AND NEW ENGLAND HIGHWAY,STANTHORPE ,,151.91676,-28.65723
STANWELL RURAL,STANWELL WAROULA ROAD,STANWELL ,,150.323602339,-23.4847981089999
STOCKYARD POINT RURAL,STOCKYARD HEIGHTS DRIVE,STOCKYARD ,,150.80555,-22.81244
STONEY CREEK RURAL,WILKES ROAD,STONEY CREEK ,,152.724298699,-26.90042032
STUART RIVER RURAL,BUNYA HIGHWAY,KINGAROY ,,151.815602351,-26.593447178
SUGARLOAF RURAL,CORNER OF NEILSENS ROAD AND SUGARLOAF ROAD,STANTHORPE ,,152.003970871,-28.697123018
SUNNYSIDE RURAL,HOMEBUSH ROAD,SARINA ,,149.073264932,-21.340432243
SWAN AND EMU CREEK RURAL,OAK STREET,TANNYMOREL ,,152.246926788,-28.290432247
SWAN AND EMU CREEK RURAL,YANGAN KILARNEY ROAD,YANGAN ,,152.232114798,-28.220050811
TAKURA RURAL,838 TORBANLEA ROAD,TAKURA ,,152.706042748,-25.3188778639999
TALLEBUDGERA VALLEY RURAL,8 RUSTY COURT,TALLEBUDGERA VALLEY ,,153.378163596,-28.1733244289999
TALWOOD RURAL,CHURCH STREET,TALWOOD ,,149.472334852,-28.4843926519999
TAMBORINE RURAL,2765 WATERFORD/TAMBORINE ROAD,TAMBORINE ,,153.12806897,-27.879898156
TANBY RURAL,TANBY ROAD,TANBY ,,150.74752,-23.22707
TANNUM RURAL,100 TANNUM SANDS ROAD,TANNUM SANDS ,,151.368229793,-23.960559705
TAROMEO RURAL,CORNER OF HART STREET AND BOWMAN ROAD,KINGAROY ,,152.10150499,-26.882790728
TARZALI RURAL,THIRD AVENUE,TARZALI ,,145.602956439,-17.426304655
TEEWAH RURAL,CORNER OF STARGAZER STREET AND MULLOWAY STREET,NOOSA NORTH SHORE ,,153.062306585,-26.2785831429999
THALLON TOWN RURAL,PINE STREET,THALLON ,,148.865940024,-28.636793167
THE PALMS RURAL,PALM DRIVE,THE PALMS ,,152.590089772,-26.2013369759999
THE RIDGE RURAL,26 CHELDAN AVENUE,DALBY ,,151.325827745,-27.064471246
THEEBINE RURAL,THEEBINE ROAD,THEEBINE ,,152.544556841,-25.9455957019999
THORNTON PEAK RURAL,TEE TREE ROAD,DIWAN ,,145.403547114,-16.202499587
TIARO RURAL,COPENHAGEN STREET,TIARO ,,152.583635744,-25.732358322
TINANA RURAL,398 TEDDINGTON ROAD,TINANA ,,152.670081362,-25.5877077819999
TINBEERWAH RURAL,863 SUNRISE ROAD,TINBEERWAH ,,152.982858304,-26.403849941
TINNANBAR RURAL,BOAT HARBOUR DRIVE,TINNANBAR ,,152.956239131,-25.7581941559999
TIRROAN RURAL,18 TABLELAND ROAD,GIN GIN ,,151.925422678,-25.002218045
TOLMAH RURAL,303 HUMBUG ROAD,TARA ,,150.296825969,-27.128905441
TOMEWIN RURAL,691 TOMEWIN MOUNTAIN ROAD,CURRUMBIN VALLEY ,,153.388806831,-28.227758964
TOOGOOM RURAL,28 SHELLCOTT STREET,TOOGOOM ,,152.692871869,-25.2566673659999
TOOLAKEA RURAL,TOOLAKEA BEACH ROAD,TOOLAKEA ,,146.581848168,-19.1463905219999
TOORBUL RURAL,22 FIRST AVENUE,TOORBUL ,,153.098374788,-27.033358522
TRAVESTON RURAL,TRAVESTON ROAD,TRAVESTON ,,152.782947224,-26.321500054
TURKEY BEACH RURAL,WORTHINGTON ROAD,TURKEY BEACH ,,151.650875339,-24.0792122889999
UPPER FLAGSTONE RURAL,1785 UPPER FLAGSTONE CREEK ROAD,UPPER FLAGSTONE ,,151.987803782,-27.617355286
UPPER FLAGSTONE RURAL,120 FLAGSTONE CREEK ROAD,UPPER FLAGSTONE ,,152.000832695,-27.6096866
VALDORA YANDINA CREEK RURAL,269 VALDORA ROAD,VALDORA ,,153.007255579,-26.549801185
VERRIERDALE RURAL,478 VERRIERDALE ROAD,VERRIERDALE ,,152.998217323,-26.484008388
VETERAN RURAL,560 SANDY CREEK ROAD,VETERAN ,,152.701556618,-26.135320604
VICTORIA PLAINS RURAL,VICTORIA PLAINS ROAD,VICTORIA PLAINS ,,149.000131321,-21.1849299579999
VILLENEUVE NEURUM RURAL,"LOT 1,  TERRAGON ROAD",VILLENEUVE ,,152.649422739,-26.96994538
WALLAVILLE RURAL,51 PRATTS ROAD,GIN GIN ,,152.004328336,-25.045866271
WALSH RIVER RURAL,WALSH RIVER ROAD,WATSONVILLE ,,145.341240816,-17.3494439679999
WAMURAN RURAL,12 OLD NORTH ROAD,WAMURAN ,,152.860882,-27.0414319999999
WARRA RURAL,THORN STREET,WARRA ,,150.919877398,-26.9296115569999
WARRILL VIEW RURAL,CORNER OF ROSEWOOD ROAD AND BATH ROAD,WARRILL VIEW ,,152.61443,-27.82479
WARTBURG RURAL,300 DEEPWATER ROAD,DEEPWATER ,,151.965252826,-24.42643473
WASP CREEK RURAL,66 COLEMAN ROAD,COOMERA ,,153.363737365,-27.837865274
WATTLE CAMP RURAL,548 WATTLECAMP ROAD,NANANGO ,,151.983909059,-26.457647019
WERANGA GORANBA RURAL,"LOT 32A,  FAGANS ROAD",TARA ,,150.695317,-27.279917
WEST PITTSWORTH RURAL,7 TIP ROAD,PITTSWORTH ,,151.607728531,-27.721288622
WEST WOOMBYE RURAL,JACKSONS ROAD,WEST WOOMBYE ,,152.918777,-26.669252
WESTOWE RURAL,SPRING VALLEY ROAD,YARWUN ,,151.13414,-23.86876
WESTWOOD RURAL,"LOT 90, CAPRICORN HIGHWAY",WESTWOOD ,,150.155838668,-23.62684103
WIDGEE DISTRICT RURAL,GYMPIE-WOOLOOGA ROAD,WIDGEE ,,152.436914318,-26.199954084
WILKIE CREEK RURAL,"MOONIE HIGHWAY, VIA HALIFORD",DALBY ,,150.994680322,-27.3178606829999
WILLOWS RURAL,WILLOWS ROAD,WILLOWS ,,147.537912923,-23.737976665
WINFIELD RURAL,303 ROCKY POINT ROAD,WINFIELD ,,152.010908346,-24.5207607419999
WITHCOTT RURAL,MEADOWS ROAD,WITHCOTT ,,152.020395737,-27.55913082
WIVENHOE POCKET RURAL,Lot 11 LOCKYER VIEW ROAD,WIVENHOE POCKET ,,152.615272261,-27.4100794949999
WOLFRAM ROAD RURAL,228 PARISE ROAD,DIMBULAH ,,145.069152629,-17.1273342549999
WOLVI DISTRICT RURAL,"LOT 1, ",WOLVI ,,152.849112,-26.1518425859999
WONDECLA RURAL,5 FLAGGY CREEK ROAD,WONDECLA ,,145.398053098,-17.4262596249999
WONGA RURAL,11 OLEANDER DRIVE,WONGA BEACH ,,145.411754729,-16.3587026609999
WOODBURY RURAL,628 WOODBURY ROAD,WOODBURY ,,150.68902,-23.02421
WOODGATE RURAL,150 ACACIA STREET,WOODGATE ,,152.55793972,-25.103837359
WOODHILL RURAL,LOT 2 MT LINDSAY HIGHWAY,CEDAR GROVE ,,152.991468754,-27.875537758
WOODLEA RURAL,28 EDWARDS ROAD,GATTON ,,152.28621,-27.5931699999999
WOOLOOGA RURAL,WIDE BAY HIGHWAY,LOWER WONGA ,,152.484459549,-26.090329402
WOWAN RURAL,RAILWAY AVENUE,WOWAN ,,150.197055093,-23.906476453
YANDARAN RURAL,SOUTH LITTABELLA ROAD,YANDARAN ,,152.113197347,-24.7197313369999
YANDINA NORTH ARM RURAL,11 MONAK ROAD,YANDINA ,,152.952933662,-26.5159016019999
YARAKA RURAL,QUILP ST & YARAKA/EMMOT RD,YARAKA ,,144.076430108,-24.885293534
YENGARIE RURAL,MUNGAR ROAD,YENGARIE ,,152.604826284,-25.552104879
YULEBA RURAL,PERRY STREET,YULEBA ,,149.381783,-26.616567
ALLORA DISTRICT RURAL,"MUIR STREET, ALLORA QLD 4362",,,151.984708937,-28.0347781099999
ARMIES RURAL,"ARMSTRONG BEACH ROAD, ARMSTRONG BEACH QLD 4737",,,149.282389454,-21.4487975489999
BALLOGIE RURAL,"LOT 34, ",,,151.558129394,-26.3572253949999
BROOWEENA DISTRICT  RURAL,"LOT 1, ",,,152.263422188,-25.599566453
CHILDERS RURAL,"LORD STREET, CHILDERS QLD 4660, LORD STREET",,,152.280209719,-25.234947129
CONONDALE RURAL,"MALENY KENILWORTH ROAD, CONONDALE QLD 4552",,,152.716474088,-26.729470106
GREGORY RIVER RURAL,"LOT 49, ",,,152.254770365,-25.0685059909999
HAPPY VALLEY RURAL,YIDNEY DRIVE HAPPY VALLEY 4650,,,153.199352481,-25.337679389
ILKLEY AND DISTRICT RURAL,"LOT 36, ",,,153.044331487,-26.72612
NOBBY RURAL,11 TOOTH STREET,NOBBY ,,151.902619033,-27.855473783
LAURA RURAL,GLADWELL COURT,LAURA,,144.446730996,-15.560164245
MARTON RURAL,UNIT STREET,COOKTOWN,,145.177805645,-15.451287247
POISON CREEK RURAL,MINKE ROAD,COOKTOWN,,145.160436828,-15.4530193639999
ROSSVILLE RURAL,CEDAR ROAD,ROSSVILLE,,145.25752013,-15.7460489979999
TAMBORINE MOUNTAIN RURAL,126 MAIN WESTERN RD,NORTH TAMBORINE ,,153.180429102,-27.9363952209999
GLEN APLIN RURAL,"LOT 418, WALTERS ROAD",GLEN APLIN,,151.876587162,-28.736967536
GREENBANK RURAL,149 TEVIOT ROAD,GREENBANK,,152.982917011,-27.7309428249999
HURDLE GULLY BAILEY RURAL,367 AIRPORT ROAD,MONTO,,151.095322668,-24.8925215209999
LIME HILLS ELLIOT RURAL,"LOT 138, GLENN ROAD",WOODSTOCK,,146.836924187,-19.58950722
WILDASH RURAL,CNR MAHER LANE AND OLD STANTHORPE ROAD,WILDASH,,152.057911319,-28.3269904819999
LAGOON POCKET RURAL,"LOT 1, MARY VALLEY ROAD",LAGOON POCKET,,152.663657493,-26.271299094
CLARE RURAL,28 NELSON STREET,CLARE,,147.226663525,-19.785297697
ELIMBAH DONNYBROOK RURAL,55 ALICE STREET,DONNYBROOK ,,153.069728,-26.9998639999999
MOUNT FORBES RURAL,CHAMPIONS WAY,WILLOWBANK ,,152.668447086,-27.692882047
FORDSDALE RURAL,1355 GATTON CLIFTON ROAD,MOUNT WHITESTONE,,152.15883498,-27.6660992079999
LEFT HAND BRANCH RURAL,,,,152.23392396,-27.733151049
JUNCTION VIEW RURAL,MOUNT SYLVIA ROAD,JUNCTION VIEW,,152.189668702,-27.7938037229999
CROWS NEST RURAL,LOT 18 TIMBER STREET,CROWS NEST,,152.053860089,-27.278560601
ADELAIDE PARK RURAL,724A ADELAIDE PARK ROAD,ADELAIDE PARK,,150.688403975,-23.086048413
TIRROAN RURAL,TOBINS SHORTCUT ROAD,HORSE CAMP,,151.875788132,-25.0931129909999
AGNES WATER RURAL,2863 ROUND HILL ROAD,AGNES WATER,,151.893171358,-24.219985177
MOUNT BLACKWOOD RURAL,3022 BRUCE HIGHWAY,KUTTABUL ,,148.921220991,-21.051680927
STANAGE RURAL,131 BANKSIA ROAD,STANAGE,,150.045643172,-22.136573797
MOUNT FOX RURAL,2957 MUONT FO ROAD,MOUNT FOX,,145.794034829,-18.8194792419999
NERIMBERA RURAL,,,,150.59532273,-23.401551223
GAETA RURAL,Lot 100 Gaeta Road,Gaeta,,151.589386846,-24.879772729
IMAGE FLAT COOLOOLABIN RURAL,368 KIAMBA ROAD,KIAMBA,,152.913619161,-26.566046452
BUTLERVILLE RURAL,TARGINNIE ROAD TARGINNIE 4694,,,151.094747136,-23.7543252149999
COEN RURAL,20 SHEPHARD STREET,COEN,,143.19847999,-13.945928061
