Name,Address,Suburb,Postcode,Latitude,Longtitude
Tickets and Tours Online Portal Broadbeach,C/O Ultiqa Suite 4 Level 2 Oasis Shopping Centre Broadbeach ,Broadbeach,4218,-28.0291,153.43138
TSG Burpengary ,173 Station Road,Burpengary,4505,-27.154076,152.97417
Tweed Heads Info Centre,Cnr Wharf & Bay Street,Tweed Heads,2485,-28.170883,153.54366
Walton Bridge News,"Shop 10, 974 Waterworks Road ",The Gap,4061,-27.445401,152.95315
Warana News ,Cnr Nicklin Way and Minkara Street ,Warana,4575,-26.725069,153.12963
Waterford Plaza News,"Waterford Plaza, corner Kingston and Taigum Roads ",Waterford,4113,-27.692834,153.13529
Wellington Point News,"Shop 2, 368 Main Road",Wellington Point,4160,-27.48543,153.23781
Wellington Point Post Office,"Shop 3, 405 Main Road",Wellington Point,4160,-27.48691,153.23915
West Stafford News ,611 Stafford Road,Stafford ,4053,-27.407517,152.99995
Westside Story Newsagency,85 Boundary Street,West End,4101,-27.477442,153.01259
Wilston News & Post,"Shop 1, 99 Kedron Brook Road",Wilston,4051,-27.432244,153.01994
Winston Glades News,Shop 9 Ash Street,Yamanto,4305,-27.65296,152.76486
Woody Point News ,60A King Street ,Woody Point,4019,-27.250149,153.10333
Wynnum North Newsagency,"Shop 1, 150 Selina Road ",Wynnum North,4178,-27.43694,153.15871
Ezymart 3 Cavill Ave,3 Cavill Ave ,Surfers Paradise ,4217,-28.002125,153.43073
Ezymart 3320,3220 Surfers Paradise Blvd,Surfers Paradise ,4217,-28.000436,153.42799
Ezymart Orchid Ave,"Shop 7A, 15 Cavill Ave",Surfers Paradise ,4217,-28.001784,153.42977
7-Eleven 189 George St,"189 George Street, Brisbane CBD",Brisbane,4000,-27.4714,153.024
7-Eleven 331-333 George St Brisbane,331 - 333 George Street,Brisbane,4000,-27.4687,153.022
7-Eleven 4100 Brunswick St,376 Brunswick Street,Fortitude Valley,4006,-27.458803,153.03573
"7-Eleven 47-59 Adelaide St, Br",47 - 59 Adelaide Street,Brisbane,4000,-27.469628,153.02374
7-Eleven 82 Pineland Rd,82 Pinelands Road,Sunnybank,4109,-27.591554,153.0604
7-Eleven 97 Albert Street,97 Albert Street,Brisbane,4000,-27.471499,153.02739
7-Eleven Acacia Ridge East ,139 Beenleigh Road,Acacia Ridge ,4110,-27.575535,153.0395
7-Eleven Adelaide St West,174 Adelaide Street,Brisbane,4000,-27.467482,153.02594
